     JOBID  PARTITION                                                                         NAME     USER   STATE           TIME
    253157   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=901_seed2=925_random  aronton PENDING           0:00
    253158   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=926_seed2=950_random  aronton PENDING           0:00
    253159   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=951_seed2=975_random  aronton PENDING           0:00
    253160   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=976_seed2=1000_rando  aronton PENDING           0:00
    253161   scopion4    spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=1_seed2=25_random  aronton PENDING           0:00
    253162   scopion4   spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=26_seed2=50_random  aronton PENDING           0:00
    253163   scopion4   spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=51_seed2=75_random  aronton PENDING           0:00
    253164   scopion4  spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=76_seed2=100_random  aronton PENDING           0:00
    253165   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=101_seed2=125_random  aronton PENDING           0:00
    253166   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=126_seed2=150_random  aronton PENDING           0:00
    253167   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=151_seed2=175_random  aronton PENDING           0:00
    253168   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=176_seed2=200_random  aronton PENDING           0:00
    253169   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=201_seed2=225_random  aronton PENDING           0:00
    253170   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=226_seed2=250_random  aronton PENDING           0:00
    253171   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=251_seed2=275_random  aronton PENDING           0:00
    253172   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=276_seed2=300_random  aronton PENDING           0:00
    253173   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=301_seed2=325_random  aronton PENDING           0:00
    253174   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=326_seed2=350_random  aronton PENDING           0:00
    253175   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=351_seed2=375_random  aronton PENDING           0:00
    253176   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=376_seed2=400_random  aronton PENDING           0:00
    253177   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=401_seed2=425_random  aronton PENDING           0:00
    253178   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=426_seed2=450_random  aronton PENDING           0:00
    253179   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=451_seed2=475_random  aronton PENDING           0:00
    253180   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=476_seed2=500_random  aronton PENDING           0:00
    253181   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=501_seed2=525_random  aronton PENDING           0:00
    253182   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=526_seed2=550_random  aronton PENDING           0:00
    253183   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=551_seed2=575_random  aronton PENDING           0:00
    253184   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=576_seed2=600_random  aronton PENDING           0:00
    253185   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=601_seed2=625_random  aronton PENDING           0:00
    253186   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=626_seed2=650_random  aronton PENDING           0:00
    253187   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=651_seed2=675_random  aronton PENDING           0:00
    253188   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=676_seed2=700_random  aronton PENDING           0:00
    253189   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=701_seed2=725_random  aronton PENDING           0:00
